,Unnamed: 0,_id,title,roomName,gender,roomType,py,deposit,rentFee,region,brandType,roomOption,url,imgUrl,station,station_region
113,113,65d83edd586d871d4e26c546,183호점,Room B,2,0,9.0,1000000,580000,약수역,0,WIFI 에어컨 세탁기 냉장고 의류건조기 wifi 정수기 전자렌지 밥솥 가스렌지 식탁 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/183,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,약수,신당동
114,114,65d83edf586d871d4e26c547,183호점,Room C,2,1,18.0,1000000,420000,약수역,0,WIFI 에어컨 세탁기 냉장고 의류건조기 wifi 정수기 전자렌지 밥솥 가스렌지 식탁 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/183,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,약수,신당동
115,115,65d83eea586d871d4e26c548,270호점,B,2,0,0.0,0,660000,논현역,0,WIFI 에어컨 세탁기 냉장고 스탠드 조명 식탁 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/270,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,논현,논현동
116,116,65d83eec586d871d4e26c549,270호점,H,2,1,0.0,0,528000,논현역,0,WIFI 에어컨 세탁기 냉장고 스탠드 조명 식탁 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/270,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,논현,논현동
117,117,65d83eef586d871d4e26c54a,270호점,I,2,1,0.0,0,440000,논현역,0,WIFI 에어컨 세탁기 냉장고 스탠드 조명 식탁 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/270,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,논현,논현동
118,118,65d83ef1586d871d4e26c54b,270호점,J,2,1,0.0,0,451000,논현역,0,WIFI 에어컨 세탁기 냉장고 스탠드 조명 식탁 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/270,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,논현,논현동
119,119,65d83f00586d871d4e26c54c,207호점,Room A,2,0,8.0,1000000,570000,금호역,0,WIFI 에어컨 세탁기 냉장고 청소기 빨래건조대 신발장 wifi 정수기 전자렌지 밥솥 가스렌지 식탁 빨래건조대 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/207,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,금호,금호동4가
120,120,65d83f02586d871d4e26c54d,207호점,Room B,2,0,9.0,1000000,570000,금호역,0,WIFI 에어컨 세탁기 냉장고 청소기 빨래건조대 신발장 wifi 정수기 전자렌지 밥솥 가스렌지 식탁 빨래건조대 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/207,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,금호,금호동4가
121,121,65d83f04586d871d4e26c54e,207호점,Room C,2,0,10.0,1000000,570000,금호역,0,WIFI 에어컨 세탁기 냉장고 청소기 빨래건조대 신발장 wifi 정수기 전자렌지 밥솥 가스렌지 식탁 빨래건조대 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/207,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,금호,금호동4가
122,122,65d83f13586d871d4e26c54f,206호점,Room A,2,0,0.0,1000000,550000,금호역,0,WIFI 에어컨 세탁기 냉장고 청소기 빨래건조대 신발장 wifi 정수기 전자렌지 밥솥 가스렌지 식탁 빨래건조대 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/206,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,금호,금호동4가
